Keyword,Score,Chapter,Author
allah,0.8804000000000001,49,Google Translate
sesungguhnya,0.8539000000000001,49,Google Translate
rasul,0.8215,49,Google Translate
pengampun,0.7283,49,Google Translate
kepadamu,0.7214,49,Google Translate
menaati,0.6907000000000001,49,Google Translate
cahaya,1.5644,57,Google Translate
tuhanmu,1.0251,57,Google Translate
rasul,0.7847,57,Google Translate
maha,0.7524000000000001,57,Google Translate
sesungguhnya,0.7456,57,Google Translate
kafir,0.6616,57,Google Translate
langit,0.6535,57,Google Translate
menipu,0.5664,57,Google Translate
berseru,0.5586,57,Google Translate
bumi,0.5319,57,Google Translate
bersumpah,1.908,58,Google Translate
kepadamu,1.3763999999999998,58,Google Translate
mengetahuinya,1.2438,58,Google Translate
sungguh,1.2202,58,Google Translate
bersedekah,0.7969999999999999,58,Google Translate
dirikanlah,0.7632,58,Google Translate
beriman,0.7291,58,Google Translate
dosamu,0.7021,58,Google Translate
kerjakan,0.6594,58,Google Translate
melakukannya,0.6026,58,Google Translate
memerangi,1.7770000000000001,59,Google Translate
sesungguhnya,1.6598000000000002,59,Google Translate
kafir,0.9053,59,Google Translate
takut,0.7665,59,Google Translate
kekerasan,0.6614,59,Google Translate
bertakwalah,0.6483,59,Google Translate
perbuatan,0.6128,59,Google Translate
bertasbih,0.5672,59,Google Translate
musafir,0.5407,59,Google Translate
persekutukan,0.5391,59,Google Translate
memerangi,0.5407,60,Google Translate
mengingkari,0.5265,60,Google Translate
mendustakanmu,0.4646,60,Google Translate
musuhmu,0.4641,60,Google Translate
permusuhan,0.4273,60,Google Translate
kerjakan,0.3991,60,Google Translate
keridhaan,0.3642,60,Google Translate
berzina,0.3431,60,Google Translate
tuhanmu,0.331,60,Google Translate
sekutu,0.2955,60,Google Translate
kebohongan,0.4809,61,Google Translate
mempersekutukan,0.4482,61,Google Translate
zalim,0.4465,61,Google Translate
azab,0.4456,61,Google Translate
beriman,0.4323,61,Google Translate
musa,0.4219,61,Google Translate
mengampuni,0.3831,61,Google Translate
melawan,0.3762,61,Google Translate
menyakitiku,0.3714,61,Google Translate
penolongku,0.3479,61,Google Translate
karunia,0.5578,62,Google Translate
bertasbih,0.5282,62,Google Translate
allah,0.4978,62,Google Translate
rezeki,0.4873,62,Google Translate
rasul,0.4659,62,Google Translate
amanah,0.4406,62,Google Translate
ayat,0.4065,62,Google Translate
kepadamu,0.3692,62,Google Translate
menyucikan,0.3587,62,Google Translate
langit,0.3508,62,Google Translate
munafik,0.4828,63,Google Translate
menyombongkan,0.4427,63,Google Translate
bersaksi,0.3826,63,Google Translate
sesungguhnya,0.3785,63,Google Translate
melalaikan,0.3656,63,Google Translate
pendusta,0.3537,63,Google Translate
rasul,0.3164,63,Google Translate
mengusir,0.3011,63,Google Translate
hati,0.2992,63,Google Translate
kepadamu,0.2775,63,Google Translate
allah,2.1518,64,Google Translate
istri,1.2258,64,Google Translate
beriman,0.8461,64,Google Translate
maha,0.8313,64,Google Translate
pengampun,0.8011,64,Google Translate
bertawakal,0.7848999999999999,64,Google Translate
sesungguhnya,0.7389,64,Google Translate
cobaan,0.7334,64,Google Translate
mengampuni,0.7047,64,Google Translate
pahala,0.6553,64,Google Translate
menceraikan,0.6079,65,Google Translate
peliharalah,0.587,65,Google Translate
ceraikanlah,0.5219,65,Google Translate
pisahkanlah,0.5124,65,Google Translate
mencukupinya,0.4931,65,Google Translate
menimpakan,0.4882,65,Google Translate
iddah,0.4868,65,Google Translate
mengusir,0.4683,65,Google Translate
berikanlah,0.4624,65,Google Translate
menyempurnakan,0.4367,65,Google Translate
mengharamkan,0.7346,66,Google Translate
diperintahkan,0.5424,66,Google Translate
menceraikan,0.5184,66,Google Translate
kecuali,0.3689,66,Google Translate
saw,0.3649,66,Google Translate
kafir,0.3645,66,Google Translate
mengkhianati,0.3354,66,Google Translate
pernyataan,0.3201,66,Google Translate
perumpamaan,0.3029,66,Google Translate
tuhanmu,0.3,66,Google Translate
