Chapter,Verse,King Fahd,Kemenag,Google Translator,Fahd - Google,Kemenag - Google,Fahd - Kemenag
2,11,"Dan bila dikatakan kepada mereka, “Janganlah kamu membuat kerusakan di muka bumi”, mereka menjawab, ""Sesungguhnya kami orang-orang yang mengadakan perbaikan"".","Dan apabila dikatakan kepada mereka, ""Janganlah berbuat kerusakan di bumi!"" Mereka menjawab, ""Sesungguhnya kami justru orang-orang yang melakukan perbaikan.""","Dan ketika dikatakan kepada mereka, jangan merusak bumi, kata mereka, tetapi kami direkonsiliasi",0.60242784,0.6247821,0.9550682
2,12,"Ingatlah, sesungguhnya mereka itulah orang-orang yang membuat kerusakan, tetapi mereka tidak sadar.","Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari.","Mereka bukan spoiler, tetapi mereka tidak merasa",0.3000669,0.3010463,0.9444685
2,13,"Apabila dikatakan kepada mereka, ""Berimanlah kamu sebagaimana orang-orang lain telah beriman"", mereka menjawab, ""Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman?"" Ingatlah, sesungguhnya merekalah orang-orang yang bodoh, tetapi mereka tidak tahu.","Dan apabila dikatakan kepada mereka, ""Berimanlah kamu sebagaimana orang lain yang telah beriman!"" Mereka menjawab, ""Apakah kami akan beriman seperti orang-orang yang kurang akal itu beriman?"" Ingatlah, sesungguhnya mereka itulah orang-orang yang kurang akal, tetapi mereka tidak tahu.","Dan ketika dikatakan kepada mereka, mereka akan aman, serta orang -orang dari orang -orang.",0.3942592,0.46982437,0.8277868
2,14,"Dan bila mereka berjumpa dengan orang-orang yang beriman, mereka mengatakan, ""Kami telah beriman"".  Dan bila mereka kembali kepada setan-setan mereka, mereka mengatakan, ""Sesungguhnya kami sependirian dengan kamu, kami hanyalah berolok-olok"".","Dan apabila mereka berjumpa dengan orang yang beriman, mereka berkata, ""Kami telah beriman."" Tetapi apabila mereka kembali kepada setan-setan (para pemimpin) mereka, mereka berkata, ""Sesungguhnya kami bersama kamu, kami hanya berolok-olok.""","Dan ketika mereka terpenuhi, mereka yang percaya, mereka berkata: “Dan ketika mereka diserahkan kepada mereka berdua, mereka berkata:“ Kami bersamamu",0.6270186,0.65624785,0.92218345
2,15,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,Allah akan memperolok-olokkan mereka dan membiarkan mereka terombang-ambing dalam kesesatan.,Tuhan mengejek mereka dan memperluas mereka dalam tiran mereka.,0.5894615,0.56456053,0.9498362
2,16,"Mereka itulah orang yang membeli kesesatan dengan petunjuk, maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.",Mereka itulah yang membeli kesesatan dengan petunjuk. Maka perdagangan mereka itu tidak beruntung dan mereka tidak mendapat petunjuk.,"Mereka yang telah terikat oleh kemalangan bimbingan, jadi apa yang telah mereka lupakan, dan apa yang mereka pandu oleh bimbingan",0.33343405,0.26340458,0.78098893
2,17,"Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya, Allah hilangkan cahaya (yang menyinari) mereka, dan membiarkan mereka dalam kegelapan, mereka tidak dapat melihat.","Perumpamaan mereka seperti orang-orang yang menyalakan api, setelah menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat.","Demikian juga, seperti orang yang telah kehilangan api, jadi ketika saya berkeliling apa yang ada di sekitarnya, Tuhan pergi dengan lampu mereka dan meninggalkan mereka dalam kegelapan",0.6617631,0.65579987,0.9603515
2,18,"Mereka tuli, bisu, dan buta, maka tidaklah mereka akan kembali (ke jalan yang benar),","Mereka tuli, bisu dan buta, sehingga mereka tidak dapat kembali.","Sayang, kamu buta, jadi mereka tidak akan kembali",0.53816473,0.49699304,0.802351
2,19,"atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita, guruh, dan kilat; mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir, sebab takut akan mati.   Dan Allah meliputi orang-orang yang kafir.","Atau seperti (orang yang ditimpa) hujan lebat dari langit, yang disertai kegelapan, petir dan kilat. Mereka menyumbat telinga dengan jari-jarinya, (menghindari) suara petir itu karena takut mati. Allah meliputi orang-orang yang kafir.","Atau sebagai orang berdosa dari langit di mana ada ketidakadilan, domba jantan dan kecerahan yang membuat pengorbanan mereka di dalamnya dalam kesengsaraan mereka dari orang yang merupakan kebenaran. Diperoleh oleh mereka yang kafir",0.5338675,0.5514233,0.96856916
2,20,"Hampir-hampir kilat itu menyambar penglihatan mereka.  Setiap kali kilat itu menyinari mereka, mereka berjalan di bawah sinar itu, dan bila gelap menimpa mereka, mereka berhenti.  Jikalau Allah menghendaki, niscaya Dia melenyapkan pendengaran dan penglihatan mereka.  Sesungguhnya Allah berkuasa atas segala sesuatu.","Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjalan di bawah (sinar) itu, dan apabila gelap menerpa mereka, mereka berhenti. Sekiranya Allah menghendaki, niscaya Dia hilangkan pendengaran dan penglihatan mereka. Sungguh, Allah Mahakuasa atas segala sesuatu.","Berkat hampir diculik, dasar mereka 😂 Saya tidak menyalakan mereka dengan mereka dan brief mereka",0.2076137,0.21535504,0.943471
2,21,"Hai manusia, sembahlah Tuhan-mu yang telah menciptakanmu dan orang-orang yang sebelummu agar kamu bertakwa.","Wahai manusia! Sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu, agar kamu bertakwa.","Wahai orang -orang, sembahlah Tuhanmu, yang menciptakan kamu dan orang -orang yang ada di hadapanmu, yang mungkin kamu takuti",0.83062553,0.8726137,0.9461274
2,22,"Dia-lah yang menjadikan bumi sebagai hamparan bagimu, dan langit sebagai atap, dan Dia menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu; karena itu, janganlah kamu mengadakan sekutu-sekutu bagi Allah, padahal kamu mengetahui.","(Dialah) yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap, dan Dialah yang menurunkan air (hujan) dari langit, lalu Dia hasilkan dengan (hujan) itu buah-buahan sebagai rezeki untukmu. Karena itu janganlah kamu mengadakan tandingan-tandingan bagi Allah, padahal kamu mengetahui.","Dia yang telah menjadikanmu bumi dengan orang bodoh dan langit dengan sedikit, dan aku turun dari langit dari langit, jadi dia akan dibawa keluar kepadanya dari gosip gosip. Buatlah untuk Tuhan, dan Anda tahu",0.5995122,0.54744947,0.7398234
2,23,"Dan jika kamu (tetap) dalam keraguan tentang Al-Qur`ān yang Kami wahyukan kepada hamba Kami (Muhammad), buatlah satu surah (saja) yang semisal Al-Qur`ān itu dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.","Dan jika kamu meragukan (Alquran) yang kami turunkan kepada hamba Kami (Muhammad), maka buatlah satu surah semisal dengannya dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.","Dan jika Anda berada dalam rapper, dari apa yang telah kami ungkapkan kepada kami, maka datanglah dengan dinding sejenisnya, dan berdoa untuk Anda tanpa hal yang sama.",0.4064769,0.45805824,0.86698836
2,24,"Maka jika kamu tidak dapat membuat(nya) dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir.","Jika kamu tidak mampu membuatnya, dan (pasti) tidak akan mampu, maka takutlah kamu akan api neraka yang bahan bakarnya manusia dan batu yang disediakan bagi orang-orang kafir.","Jika Anda tidak melakukannya, dan Anda tidak akan melakukannya, maka takutlah api, dan orang -orang dari orang -orang dan batu 😂",0.5913584,0.69168067,0.8744914
2,25,"Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik bahwa bagi mereka disediakan surga-surga yang mengalir sungai-sungai di dalamnya.  Setiap mereka diberi rezeki buah-buahan dalam surga-surga itu, mereka mengatakan, ""Inilah yang pernah diberikan kepada kami dahulu"".  Mereka diberi buah-buahan yang serupa dan untuk mereka di dalamnya ada istri-istri yang suci dan mereka kekal di dalamnya.","Dan sampaikanlah kabar gembira kepada orang-orang yang beriman dan berbuat kebajikan, bahwa untuk mereka (disediakan) surga-surga yang mengalir di bawahnya sungai-sungai. Setiap kali mereka diberi rezeki buah-buahan dari surga, mereka berkata, ""Inilah rezeki yang diberikan kepada kami dahulu."" Mereka telah diberi (buah-buahan) yang serupa. Dan di sana mereka (memperoleh) pasangan-pasangan yang suci. Mereka kekal di dalamnya.","Dan berkhotbah kepada mereka yang percaya dan melakukan kebaikan bahwa mereka memiliki surga yang mengalir dari bawahnya, mereka berkata: ""Dia yang telah diberkati sebelumnya"" dan mereka bersamanya, dan mereka memiliki kekayaan.",0.61086285,0.6256821,0.9092181
2,26,"Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu.  Adapun orang-orang yang beriman, maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka, tetapi mereka yang kafir mengatakan, ""Apakah maksud Allah menjadikan ini untuk perumpamaan?"". Dengan perumpamaan itu banyak orang yang disesatkan Allah, dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk.  Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,","Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil dari itu. Adapun orang-orang yang beriman, mereka tahu bahwa itu kebenaran dari Tuhan. Tetapi mereka yang kafir berkata, ""Apa maksud Allah dengan perumpamaan ini?"" Dengan (perumpamaan) itu banyak orang yang dibiarkan-Nya sesat, dan dengan itu banyak (pula) orang yang diberi-Nya petunjuk. Tetapi tidak ada yang Dia sesatkan dengan (perumpamaan) itu selain orang-orang fasik,","۞ Tuhan tidak malu untuk menyerang misalnya, apa itu nyamuk, jadi apa yang ada pada otoritasnya ۚ Adapun mereka yang percaya, kemudian tahu bahwa itu dari itu. Mereka yang tidak percaya, dan mereka akan berkata, “Bersedia Tuhan",0.55341244,0.56419474,0.9450297
2,27,"(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh, dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya, dan membuat kerusakan di muka bumi.  Mereka itulah orang-orang yang rugi.","(yaitu) orang–orang yang melanggar perjanjian Allah setelah (perjanjian) itu diteguhkan, dan memutuskan apa yang diperintahkan Allah untuk disambungkan dan berbuat kerusakan di bumi. Mereka itulah orang-orang yang rugi.","Mereka yang menangkap perjanjian Allah setelah saya, dan mereka akan terputus dari apa yang Tuhan perintahkan dia untuk terhubung dan merusak salib",0.63799644,0.633669,0.96066296
2,28,"Mengapa kamu kafir kepada Allah? Padahal kamu tadinya mati, lalu Allah menghidupkan kamu, kemudian kamu dimatikan dan dihidupkan-Nya kembali, kemudian kepada-Nya-lah kamu dikembalikan.","Bagaimana kamu ingkar kepada Allah, padahal kamu (tadinya) mati, lalu dia menghidupkan kamu, kemudian Dia mematikan kamu lalu Dia menghidupkan kamu kembali. Kemudian kepada-Nyalah kamu dikembalikan.","Bagaimana Anda menebus Tuhan, dan Anda adalah orang fana, jadi saya akan menghidupkan kembali Anda.",0.5288799,0.5820893,0.7353549
2,29,"Dia-lah Allah yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak menuju langit, lalu dijadikan-Nya tujuh langit.  Dan Dia Maha Mengetahui segala sesuatu.","Dialah (Allah) yang menciptakan segala apa yang ada di bumi untuk kalian kemudian Dia menuju ke langit, lalu Dia menyempurnakannya menjadi tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.",Dia adalah orang yang menciptakan untuk Anda apa yang ada dalam semua,0.6190922,0.6498126,0.9459984
2,30,"Ingatlah ketika Tuhan-mu berfirman kepada para malaikat, ""Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi"".  Mereka berkata, ""Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah, padahal kami senantiasa bertasbih dengan memuji Engkau dan menyucikan Engkau?"" Tuhan berfirman, ""Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui"".","Dan (ingatlah) ketika Tuhanmu berfirman kepada para Malaikat, ""Aku hendak menjadikan khalifah di bumi"". Mereka berkata, ""Apakah Engkau hendak menjadikan orang yang merusak dan menumpahkan darah di sana, sedangkan kami bertasbih memuji-Mu dan menyucikan nama-Mu?"" Dia berfirman, ""Sungguh, Aku mengetahui apa yang tidak kalian ketahui.""","Dan ketika Tuhanmu berkata kepada malaikat, kamu membuat di tanah menjadi khalifah. Kami memuji pujian Anda dan menyucikan Anda. Dia mengatakan bahwa saya tahu apa yang tidak Anda ketahui",0.787252,0.76487976,0.8884478
2,31,"Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya, kemudian mengemukakannya kepada para malaikat lalu berfirman, ""Sebutkanlah kepada-Ku nama benda-benda itu jika kamu mamang benar orang-orang yang benar!""","Dan Dia ajarkan kepada Adam nama-nama (benda) semuanya, kemudian Dia perlihatkan kepada para malaikat, seraya berfirman, ""Sebutkan kepada-Ku nama semua benda ini, jika kalian yang benar!""","Dan dia tahu semua nama, lalu mereka memberikannya kepada para malaikat, jadi dia berkata bahwa aku ada di namanya",0.5873027,0.64698875,0.93504167
2,32,"Mereka menjawab, ""Maha Suci Engkau, tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami; sesungguhnya Engkau-lah Yang Maha Mengetahui lagi Maha Bijaksana"".","Mereka menjawab, ""Mahasuci Engkau, tidak ada yang kami ketahui selain apa yang telah Engkau ajarkan kepada kami. Sungguh, Engkaulah Yang Maha Mengetahui, Mahabijaksana.""","Mereka berkata, ""Kami tidak memiliki pengetahuan tentang kami kecuali apa yang telah Anda ajarkan kepada kami"".",0.6723543,0.6955986,0.93580043
2,33,"Allah berfirman, ""Hai Adam, beritahukanlah kepada mereka nama-nama benda ini"".  Maka setelah diberitahukannya kepada mereka nama-nama benda itu, Allah berfirman, ""Bukankah sudah Aku katakan kepadamu bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?""","Dia (Allah) berfirman, ""Wahai Adam! Beritahukanlah kepada mereka nama-nama itu!"" Setelah dia (Adam) menyebutkan nama-namanya, Dia berfirman, ""Bukankah telah Aku katakan kepada kalian, bahwa Aku mengetahui rahasia langit dan bumi, dan Aku mengetahui apa yang kalian nyatakan dan apa yang kalian sembunyikan?""","Dia berkata: ""Mereka akan dipenuhi dengan nama mereka"". Dan saya tahu apa yang Anda mulai dan apa diri Anda",0.54297185,0.5722647,0.924229
2,34,"Dan (ingatlah) ketika Kami berfirman kepada para malaikat, ""Sujud-lah kamu kepada Adam!"" Maka sujud-lah mereka kecuali Iblis; ia enggan dan takabur, dan adalah ia termasuk golongan orang-orang yang kafir.","Dan (ingatlah) ketika Kami berfirman kepada para malaikat, ""Sujudlah kalian kepada Adam!"" Maka mereka pun sujud kecuali Iblis. Ia menolak dan menyombongkan diri, dan ia termasuk golongan yang kafir.","Dan ketika kami berkata kepada para malaikat, mereka tidak menemukannya, jadi mereka tidak menemukan ayah saya, dan itu sudah tua, dan itu dari yang satu.",0.42427868,0.39182425,0.93634236
2,35,"Dan Kami berfirman, ""Hai Adam, diamilah oleh kamu dan istrimu surga ini, dan makanlah makanan-makanannya yang banyak lagi baik dimana saja yang kamu sukai, dan janganlah kamu dekati pohon ini, yang menyebabkan kamu termasuk orang-orang yang zalim.","Dan Kami berfirman: ""Wahai Adam! Tinggallah engkau dan istrimu di dalam surga, dan makanlah dengan nikmat (berbagai makanan) yang ada disana sesukamu. (Tetapi) janganlah kamu dekati pohon ini, nanti kamu termasuk orang-orang yang zalim!""","Dan kami berkata, “Kamu akan berada di masa lalu, dan kamu akan menjadi sayap",0.22428682,0.29918158,0.8684534
2,36,"Lalu keduanya digelincirkan oleh setan dari surga itu dan dikeluarkan dari keadaan semula dan Kami berfirman, ""Turunlah kamu! Sebagian kamu menjadi musuh bagi yang lain, dan bagi kamu ada tempat kediaman di bumi, dan kesenangan hidup sampai waktu yang ditentukan"".","Lalu setan menggelincirkan keduanya dari surga sehingga keduanya dikeluarkan dari (segala kenikmatan) ketika keduanya di sana (surga). Dan Kami berfirman,""Turunlah kalian! Sebagian kalian menjadi musuh bagi yang lain. Dan bagi kalian ada tempat tinggal dan kesenangan di bumi sampai waktu yang ditentukan.""","Jadi mereka mengeluarkan mereka dari mereka, dan dia membawa mereka keluar dari apa yang kami 😭 😭 😭 😭 dan kami berkata: “Beberapa dari Anda adalah untuk Anda dan terserah waktu",0.5154761,0.5027908,0.9382173
2,37,"Kemudian Adam menerima beberapa kalimat dari Tuhan-nya, maka Allah menerima tobatnya.  Sesungguhnya Allah Maha Penerima tobat lagi Maha Penyayang.","Kemudian Adam menerima beberapa kalimat dari Tuhannya, lalu Dia pun menerima tobatnya. Sungguh, Allah Maha Penerima tobat, Maha Penyayang.","Jadi, Adam menerima dari Tuhannya",0.74494874,0.7358892,0.9896332
2,38,"Kami berfirman, ""Turunlah kamu semuanya dari surga itu! Kemudian jika datang petunjuk-Ku kepadamu, maka barang siapa yang mengikuti petunjuk-Ku, niscaya tidak ada kekhawatiran atas mereka dan tidak (pula) mereka bersedih hati"".","Kami berfirman, ""Turunlah kalian semua dari surga! Kemudian jika benar-benar datang petunjuk-Ku kepada kalian, maka barang siapa mengikuti petunjuk-Ku, tidak ada rasa takut bagi mereka dan mereka tidak bersedih hati.""",Kami mengatakan bahwa mereka semua.,0.29843432,0.32643104,0.9295982
2,39,"Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu penghuni neraka; mereka kekal di dalamnya.","Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu penghuni neraka. Mereka kekal di dalamnya.","Dan mereka yang tidak percaya dan berbohong kepada kami, bersama kami, Anda adalah hak api.",0.5387789,0.49842745,0.95619595
2,40,"Hai Bani Isrā`īl , ingatlah akan nikmat-Ku yang telah Aku anugerahkan kepadamu, dan penuhilah janjimu kepada-Ku, niscaya Aku penuhi janji-Ku kepadamu; dan hanya kepada-Ku-lah kamu harus takut (tunduk).","Wahai Bani Israil! Ingatlah nikmat-Ku yang telah Aku berikan kepadamu. Dan penuhilah janjimu kepada-Ku, niscaya Aku penuhi janji-Ku kepadamu, dan takutlah kepada-Ku saja.","Bani, saya akan ingat, dan Anda akan diberkati.",0.4043274,0.31748202,0.83599466
2,41,"Dan berimanlah kamu kepada apa yang telah Aku turunkan (Al-Qur`ān) yang membenarkan apa yang ada padamu (Taurat), dan janganlah kamu menjadi orang yang pertama kafir kepadanya, dan janganlah kamu menukarkan ayat-ayat-Ku dengan harga yang rendah, dan hanya kepada Aku-lah kamu harus bertakwa.","Dan berimanlah kalian kepada apa (Alquran) yang telah Aku turunkan yang membenarkan apa (Taurat) yang ada pada kalian, dan janganlah kalian menjadi orang yang pertama kafir kepadanya. Janganlah kalian jual ayat-ayat-Ku dengan harga yang murah, dan bertakwalah hanya kepada-Ku.","Dan lakukan apa yang saya turunkan sebagai orang percaya untuk apa yang ada dengan Anda, Anda juga tidak menjadi yang pertama sebagai orang yang tidak percaya dengan dia ۖ 😂 dan Anda tidak membeli dengan sedikit",0.5568613,0.55536,0.89185727
2,42,"Dan janganlah kamu campur adukkan yang hak dengan yang batil dan janganlah kamu sembunyikan yang hak itu, sedang kamu mengetahui.","Dan janganlah kalian campuradukkan kebenaran dengan kebatilan dan (janganlah) kalian sembunyikan kebenaran, sedangkan kalian mengetahuinya.",Dan jangan memakai hak untuk sapi,0.46260715,0.34519047,0.7851852
2,43,"Dan dirikanlah salat, tunaikanlah zakat, dan rukuklah beserta orang-orang yang rukuk.","Dan laksanakanlah salat, tunaikanlah zakat dan rukuklah beserta orang yang rukuk.","Dan evaluasi komunitas, dan orang -orang zakat, dan lutut dengan ritual",0.47525612,0.47388157,0.9793818
2,44,"Mengapa kamu suruh orang lain (mengerjakan) kebajikan?  Sedang kamu melupakan diri (kewajiban)mu sendiri, padahal kamu membaca Alkitab (Taurat)? Maka tidaklah kamu berpikir?","Mengapa kalian menyuruh orang lain (mengerjakan) kebajikan, sedangkan kalian melupakan diri kalian sendiri, padahal kalian membaca Kitab (Taurat)? Tidakkah kalian mengerti?","۞ Apakah Anda memerintahkan orang dengan kebenaran, dan Anda akan melupakan Anda dan Anda melafalkan Tuhan ۚ Apakah Anda tidak mengerti",0.54733133,0.5337113,0.8777926
2,45,"Dan mintalah pertolongan (kepada Allah) dengan sabar dan salat.  Dan sesungguhnya yang demikian itu sungguh berat, kecuali bagi orang-orang yang khusyuk,","Dan mohonlah pertolongan (kepada Allah) dengan sabar dan salat. Dan (salat) itu sungguh berat, kecuali bagi orang-orang yang khusyuk,",Dan mencari kesabaran dan doa ۚ dan itu bagus kecuali untuk kedua orang itu,0.44055355,0.4442109,0.97673655
2,46,"(yaitu) orang-orang yang meyakini bahwa mereka akan menemui Tuhan-nya, dan bahwa mereka akan kembali kepada-Nya.","(yaitu) mereka yang yakin, bahwa mereka akan menemui Tuhannya, dan bahwa mereka akan kembali kepada-Nya.","Mereka yang berpikir bahwa mereka adalah Tuhan mereka, dan bahwa mereka bagi -Nya.",0.6661015,0.65155786,0.93345636
2,47,"Hai Bani Isrā`īl , ingatlah akan nikmat-Ku yang telah Aku anugerahkan kepadamu dan (ingatlah pula) bahwasanya Aku telah melebihkan kamu atas segala umat.","Wahai Bani Israil! Ingatlah nikmat-Ku yang telah aku berikan kepadamu, dan Aku telah melebihkan kamu dari semua umat yang lain di alam ini (pada masa itu).",Saya membangun gerombolan.,0.19486637,0.17117426,0.860774
2,48,"Dan jagalah dirimu dari (azab) hari (kiamat, yang pada hari itu) seseorang tidak dapat membela orang lain walau sedikit pun; dan (begitu pula) tidak diterima syafaat dan tebusan dari padanya, dan tidaklah mereka akan ditolong.","Dan takutlah kamu pada hari, (ketika) tidak seorang pun dapat membela orang lain sedikit pun. Sedangkan syafaat dan tebusan apa pun darinya tidak diterima dan mereka tidak akan ditolong.","Dan takut sehari, tidak dihargai karena menghirup sesuatu, dan itu tidak diterima darinya, dan itu tidak diambil darinya, dan tidak ada keadilan.",0.566911,0.585729,0.77779585
2,49,"Dan (ingatlah) ketika Kami selamatkan kamu dari (Firʻawn ) dan pengikut-pengikutnya; mereka menimpakan kepadamu siksaan yang seberat-beratnya; mereka menyembelih anak-anakmu yang laki-laki dan membiarkan hidup anak-anakmu yang perempuan.  Dan pada yang demikian itu, terdapat cobaan-cobaan yang besar dari Tuhan-mu.",Dan (ingatlah) ketika Kami menyelamatkan kamu dari (Fir'aun dan) pengikut-pengikut Fir'aun. Mereka menimpakan siksaan yang sangat berat kepadamu. Mereka menyembelih anak-anak laki-lakimu dan membiarkan hidup anak-anak perempuanmu. Dan pada yang demikian itu merupakan cobaan yang besar dari Tuhanmu.,"Dan ketika kami akan menyelamatkan Anda dari orang -orang Firaun, mereka akan berdoa untuk Anda, tetapi siksaan, mereka akan dikorbankan kepada Anda dari Tuhan Anda adalah yang hebat",0.6738278,0.74715585,0.8990049
2,50,"Dan (ingatlah), ketika Kami belah laut untukmu, lalu Kami selamatkan kamu dan Kami tenggelamkan (Firʻawn ) dan pengikut-pengikutnya sedang kamu sendiri menyaksikan.","Dan (ingatlah) ketika Kami membelah laut untukmu, sehingga kamu dapat Kami selamatkan dan Kami tenggelamkan (Fir'aun dan) pengikut-pengikut Fir'aun sedang kamu menyaksikan.","Dan ketika kami memisahkan Anda dari laut, maka kami akan diberkati dengan Anda, dan kami akan dibesar -besarkan.",0.63488114,0.61693776,0.8848975
