,Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,max sum
1153,57,21,"Berlomba-lombalah kamu untuk mendapatkan ampunan dari Tuhanmu dan untuk mendapatkan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan para rasul-Nya. Itulah karunia Allah yang diberikan-Nya kepada siapa yang Dia kehendaki, dan Allah Maha Besar karunia-Nya.","Berlomba-lombalah kamu untuk mendapatkan ampunan dari Tuhanmu dan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan rasul-rasul-Nya. Itulah karunia Allah, yang diberikan kepada siapa yang Dia kehendaki. Dan Allah mempunyai karunia yang besar.","Berlomba-lombalah kamu kepada (mendapatkan) ampunan dari Tuhan-mu dan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan rasul-rasul-Nya.  Itulah karunia Allah, diberikan-Nya kepada siapa yang dikehendaki-Nya.  Dan Allah mempunyai karunia yang besar.",0.97754097,0.98901784,0.98793304,1.9665588,1.9665588
1168,58,7,"Tidakkah kamu perhatikan bahwa Allah mengetahui apa yang ada di langit dan apa yang ada di bumi? Tidaklah suatu pembicaraan rahasia antara tiga orang melainkan Dialah yang keempat bagi mereka, tidak pula antara lima orang melainkan Dialah yang keenam bagi mereka, tidak pula kurang dari itu atau lebih melainkan Dia beserta mereka di mana saja mereka berada. Kemudian Dia akan memberitakan kepada mereka apa yang telah mereka kerjakan pada Hari Kiamat. Sesungguhnya Allah Maha Mengetahui segala sesuatu.","Tidakkah engkau perhatikan, bahwa Allah mengetahui apa yang ada di langit dan apa yang ada di bumi? Tidak ada pembicaraan rahasia antara tiga orang, melainkan Dialah yang keempatnya. Dan tidak ada lima orang, melainkan Dialah yang keenamnya. Dan tidak ada yang kurang dari itu atau lebih banyak, melainkan Dia pasti ada bersama mereka di mana pun mereka berada. Kemudian Dia akan memberitakan kepada mereka pada hari Kiamat apa yang telah mereka kerjakan. Sesungguhnya Allah Maha Mengetahui segala sesuatu.","Tidakkah kamu perhatikan, bahwa sesungguhnya Allah mengetahui apa yang ada di langit dan apa yang ada di bumi? Tiada pembicaraan rahasia antara tiga orang, melainkan Dia-lah yang keempatnya.  Dan tiada (pembicaraan antara) lima orang, melainkan Dia-lah yang keenamnya.  Dan tiada (pula) pembicaraan antara (jumlah) yang kurang dari itu atau lebih banyak, melainkan Dia berada bersama mereka di mana pun mereka berada.  Kemudian Dia akan memberitakan kepada mereka pada hari kiamat apa yang telah mereka kerjakan.  Sesungguhnya Allah Maha mengetahui segala sesuatu.",0.9538203,0.9782125,0.96440613,1.9320328,1.9320328
1202,59,19,"Dan janganlah kamu seperti orang-orang yang melupakan Allah, lalu Allah menjadikan mereka melupakan diri mereka sendiri. Mereka itulah orang-orang yang fasik.","Dan janganlah kamu seperti orang-orang yang lupa kepada Allah, sehingga Allah menjadikan mereka lupa akan diri sendiri. Mereka itulah orang-orang fasik.","Dan janganlah kamu seperti orang-orang yang lupa kepada Allah, lalu Allah menjadikan mereka lupa kepada mereka sendiri.  Mereka itulah orang-orang yang fasik.",0.96025,0.9506581,0.987423,1.9109081,1.9109081
1215,60,8,"Allah tidak melarang kalian dari orang-orang yang tidak memerangi kalian karena agama dan tidak mengusir kalian dari kampung halaman kalian, dari berlaku baik kepada mereka dan berlaku adil kepada mereka. Sesungguhnya Allah mencintai orang-orang yang berlaku adil.",Allah tidak melarang kamu berbuat baik dan berlaku adil terhadap orang-orang yang tidak memerangimu dalam urusan agama dan tidak mengusir kamu dari kampung halamanmu. Sesungguhnya Allah mencintai orang-orang yang berlaku adil.,Allah tiada melarang kamu untuk berbuat baik dan berlaku adil terhadap orang-orang yang tiada memerangimu karena agama dan tidak (pula) mengusir kamu dari negerimu.  Sesungguhnya Allah menyukai orang-orang yang berlaku adil.,0.9013669,0.9547672,0.90495646,1.8561342,1.8561342
1231,61,11,"Kamu beriman kepada Allah dan Rasul-Nya, dan berjihad di jalan Allah dengan harta dan jiwamu. Yang demikian itu lebih baik bagimu, jika kamu mengetahui.","(Yaitu) kamu beriman kepada Allah dan Rasul-Nya dan berjihad di jalan Allah dengan harta dan jiwamu. Itulah yang lebih baik bagi kamu jika kamu mengetahui,","(yaitu) kamu beriman kepada Allah dan rasul-Nya dan berjihad di jalan Allah dengan harta dan jiwamu.  Itulah yang lebih baik bagi kamu, jika kamu mengetahui,",0.968638,0.97243613,0.98424983,1.9410741,1.9410741
1242,62,8,"Katakanlah, ""Sesungguhnya kematian yang kamu lari darinya, pasti akan menemuimu. Kemudian kamu akan dikembalikan kepada Yang Mengetahui akan yang ghaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan.""","Katakanlah, ""Sesungguhnya kematian yang kamu lari dari padanya, ia pasti menemui kamu, kemudian kamu akan dikembalikan kepada (Allah), yang mengetahui yang gaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan.""","Katakanlah, ""Sesungguhnya kematian yang kamu lari darinya, maka sesungguhnya kematian itu akan menemui kamu, kemudian kamu akan dikembalikan kepada (Allah), yang mengetahui yang gaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan"".",0.94873905,0.9155551,0.9451067,1.8642942,1.8642942
1247,63,2," Mereka menjadikan sumpah-sumpah mereka sebagai perisai dan menghalangi manusia dari jalan Allah. Sesungguhnya, amat buruk apa yang telah mereka kerjakan.","Mereka menjadikan sumpah-sumpah mereka sebagai perisai, lalu mereka menghalang-halangi (manusia) dari jalan Allah. Sungguh, betapa buruknya apa yang telah mereka kerjakan.","Mereka itu menjadikan sumpah mereka sebagai perisai, lalu mereka menghalangi (manusia) dari jalan Allah.  Sesungguhnya amat buruklah apa yang telah mereka kerjakan.",0.9487848,0.95209163,0.9469398,1.9008765,1.9008765
1266,64,10," Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu adalah penghuni-penghuni neraka; mereka kekal di dalamnya. Dan seburuk-buruk tempat kembali.","Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni neraka, mereka kekal di dalamnya. Dan itulah seburuk-buruk tempat kembali.","Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni-penghuni neraka, mereka kekal di dalamnya.  Dan itulah seburuk-buruk tempat kembali.",0.99195087,0.9829418,0.9924465,1.9748926,1.9748926
1279,65,5," Itulah perintah Allah yang telah Dia turunkan kepadamu. Dan barangsiapa yang bertakwa kepada Allah, niscaya Dia akan menghapus kesalahan-kesalahannya dan memberikan pahala yang besar kepadanya.","Itulah perintah Allah yang diturunkan-Nya kepada kamu; barangsiapa bertakwa kepada Allah, niscaya Allah akan menghapus kesalahan-kesalahannya dan akan melipatgandakan pahala baginya.","Itulah perintah Allah yang diturunkan-Nya kepada kamu, dan barang siapa yang bertakwa kepada Allah, niscaya Dia akan menghapus kesalahan-kesalahannya dan akan melipatgandakan pahala baginya.",0.92302656,0.94722116,0.9710324,1.8702477,1.8702477
1297,66,11,"Dan Allah menjadikan perumpamaan bagi orang-orang yang beriman, yaitu istri Fir'aun, ketika ia berdoa: ""Ya Tuhanku, bangunkanlah untukku sebuah rumah di sisi-Mu di surga dan peliharalah aku dari Fir'aun dan perbuatannya, dan peliharalah aku dari kaum yang zalim.""","Dan Allah membuat perumpamaan bagi orang-orang yang beriman, istri Fir'aun, ketika dia berkata, ""Ya Tuhanku, bangunkanlah untukku satu rumah di sisi-Mu dalam surga dan selamatkanlah aku dari Fir'aun dan perbuatannya, dan selamatkanlah aku dari kaum yang zalim,""","Dan Allah membuat istri Firʻawn  perumpamaan bagi orang-orang yang beriman, ketika ia berkata, ""Ya Tuhan-ku, bangunlah untukku sebuah rumah di sisi-Mu dalam surga dan selamatkanlah aku dari Firʻawn  dan perbuatannya, dan selamatkanlah aku dari kaum yang zalim;",0.9564864,0.96620274,0.9736153,1.9226892,1.9226892
