Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,max sum
57,21,"Berlomba-lombalah kamu untuk mendapatkan ampunan dari Tuhanmu dan untuk mendapatkan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan para rasul-Nya. Itulah karunia Allah yang diberikan-Nya kepada siapa yang Dia kehendaki, dan Allah Maha Besar karunia-Nya.","Berlomba-lombalah kamu untuk mendapatkan ampunan dari Tuhanmu dan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan rasul-rasul-Nya. Itulah karunia Allah, yang diberikan kepada siapa yang Dia kehendaki. Dan Allah mempunyai karunia yang besar.","Berlomba-lombalah kamu kepada (mendapatkan) ampunan dari Tuhan-mu dan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan rasul-rasul-Nya.  Itulah karunia Allah, diberikan-Nya kepada siapa yang dikehendaki-Nya.  Dan Allah mempunyai karunia yang besar.",0.9766133,0.9851259,0.9806612,1.9617392,1.9617392
58,20," Sesungguhnya orang-orang yang menentang Allah dan Rasul-Nya, mereka itu termasuk orang-orang yang paling hina.","Sesungguhnya orang-orang yang menentang Allah dan Rasul-Nya, mereka termasuk orang-orang yang sangat hina.","Sesungguhnya orang-orang yang menentang Allah dan rasul-Nya, mereka termasuk orang-orang yang sangat hina.",0.980767,0.980767,1.0000001,1.961534,1.961534
59,4," Yang demikian itu karena mereka menentang Allah dan Rasul-Nya. Dan barangsiapa menentang Allah, sesungguhnya Allah amat keras siksaan-Nya.","Yang demikian itu karena sesungguhnya mereka menentang Allah dan Rasul-Nya. Barangsiapa menentang Allah, maka sesungguhnya Allah sangat keras hukuman-Nya.","Yang demikian itu adalah karena sesungguhnya mereka menentang Allah dan rasul-Nya. Barang siapa menentang Allah, maka sesungguhnya Allah sangat keras hukuman-Nya.",0.96317136,0.9690472,0.98961574,1.9322186,1.9322186
60,4,"Telah ada bagimu teladan yang baik pada diri Ibrahim dan orang-orang yang bersamanya, ketika mereka berkata kepada kaum mereka, ""Sesungguhnya kami telah berpaling darimu dan dari apa pun yang kamu sembah selain Allah. Kami telah mendustakanmu, dan telah tampak antara kami dan kamu permusuhan dan kebencian yang kekal, sampai kamu beriman kepada Allah semata, kecuali perkataan Ibrahim kepada ayahnya, ""Sesungguhnya aku akan memohonkan ampunan bagimu, tetapi aku tidak memiliki sesuatu pun dari Allah bagimu."" Ya Tuhan kami, hanya kepada-Mu kami bertawakal, dan hanya kepada-Mu kami kembali, dan kepada-Mulah tempat kembali.","Sungguh, telah ada suri teladan yang baik bagimu pada Ibrahim dan orang-orang yang bersama dengannya, ketika mereka berkata kepada kaumnya, ""Sesungguhnya kami berlepas diri dari kamu dan dari apa yang kamu sembah selain Allah, kami mengingkari (kekafiran)mu dan telah nyata antara kami dan kamu ada permusuhan dan kebencian buat selama-lamanya sampai kamu beriman kepada Allah saja,"" kecuali perkataan Ibrahim kepada ayahnya, ""Sungguh, aku akan memohonkan ampunan bagimu, namun aku sama sekali tidak dapat menolak (siksaan) Allah terhadapmu."" (Ibrahim berkata), ""Ya Tuhan kami, hanya kepada Engkau kami bertawakal dan hanya kepada Engkau kami bertobat dan hanya kepada Engkaulah kami kembali,","Sesungguhnya telah ada suri teladan yang baik bagimu pada Ibrāhīm dan orang-orang yang bersama dengan dia; ketika mereka berkata kepada kaum mereka, ""Sesungguhnya kami berlepas diri dari kamu dari dari apa yang kamu sembah selain Allah, kami ingkari (kekafiran)mu dan telah nyata antara kami dan kamu permusuhan dan kebencian buat selama-lamanya sampai kamu beriman kepada Allah saja"".  Kecuali perkataan Ibrāhīm kepada bapaknya, ""Sesungguhnya aku akan memohonkan ampunan bagi kamu dan aku tiada dapat menolak sesuatu pun dari kamu (siksaan) Allah"".  (Ibrāhīm berkata), ""Ya Tuhan kami hanya kepada Engkau-lah kami bertawakal dan hanya kepada Engkau-lah kami bertobat dan hanya kepada Engkau-lah kami kembali,",0.923542,0.9217261,0.9774807,1.8452681,1.8452681
61,11,"Kamu beriman kepada Allah dan Rasul-Nya, dan berjihad di jalan Allah dengan harta dan jiwamu. Yang demikian itu lebih baik bagimu, jika kamu mengetahui.","(Yaitu) kamu beriman kepada Allah dan Rasul-Nya dan berjihad di jalan Allah dengan harta dan jiwamu. Itulah yang lebih baik bagi kamu jika kamu mengetahui,","(yaitu) kamu beriman kepada Allah dan rasul-Nya dan berjihad di jalan Allah dengan harta dan jiwamu.  Itulah yang lebih baik bagi kamu, jika kamu mengetahui,",0.96909,0.9648483,0.99632335,1.9339383,1.9339383
62,8,"Katakanlah, ""Sesungguhnya kematian yang kamu lari darinya, pasti akan menemuimu. Kemudian kamu akan dikembalikan kepada Yang Mengetahui akan yang ghaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan.""","Katakanlah, ""Sesungguhnya kematian yang kamu lari dari padanya, ia pasti menemui kamu, kemudian kamu akan dikembalikan kepada (Allah), yang mengetahui yang gaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan.""","Katakanlah, ""Sesungguhnya kematian yang kamu lari darinya, maka sesungguhnya kematian itu akan menemui kamu, kemudian kamu akan dikembalikan kepada (Allah), yang mengetahui yang gaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan"".",0.95179,0.95347655,0.97402215,1.9052665,1.9052665
63,2," Mereka menjadikan sumpah-sumpah mereka sebagai perisai dan menghalangi manusia dari jalan Allah. Sesungguhnya, amat buruk apa yang telah mereka kerjakan.","Mereka menjadikan sumpah-sumpah mereka sebagai perisai, lalu mereka menghalang-halangi (manusia) dari jalan Allah. Sungguh, betapa buruknya apa yang telah mereka kerjakan.","Mereka itu menjadikan sumpah mereka sebagai perisai, lalu mereka menghalangi (manusia) dari jalan Allah.  Sesungguhnya amat buruklah apa yang telah mereka kerjakan.",0.96216285,0.9517933,0.93654656,1.9139562,1.9139562
64,10," Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu adalah penghuni-penghuni neraka; mereka kekal di dalamnya. Dan seburuk-buruk tempat kembali.","Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni neraka, mereka kekal di dalamnya. Dan itulah seburuk-buruk tempat kembali.","Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni-penghuni neraka, mereka kekal di dalamnya.  Dan itulah seburuk-buruk tempat kembali.",0.9873354,0.983808,0.99729395,1.9711434,1.9711434
65,5," Itulah perintah Allah yang telah Dia turunkan kepadamu. Dan barangsiapa yang bertakwa kepada Allah, niscaya Dia akan menghapus kesalahan-kesalahannya dan memberikan pahala yang besar kepadanya.","Itulah perintah Allah yang diturunkan-Nya kepada kamu; barangsiapa bertakwa kepada Allah, niscaya Allah akan menghapus kesalahan-kesalahannya dan akan melipatgandakan pahala baginya.","Itulah perintah Allah yang diturunkan-Nya kepada kamu, dan barang siapa yang bertakwa kepada Allah, niscaya Dia akan menghapus kesalahan-kesalahannya dan akan melipatgandakan pahala baginya.",0.9420821,0.95073205,0.96875846,1.8928142,1.8928142
66,1," Wahai Nabi, mengapa engkau mengharamkan apa yang telah Allah halalkan bagimu, karena ingin menyenangkan istri-istrimu? Padahal Allah Maha Pengampun lagi Maha Penyayang.","Wahai Nabi! Mengapa engkau mengharamkan apa yang dihalalkan Allah bagimu? Engkau ingin menyenangkan hati istri-istrimu? Dan Allah Maha Pengampun, Maha Penyayang.","Hai Nabi, mengapa kamu mengharamkan apa yang Allah menghalalkannya bagimu; kamu mencari kesenangan hati istri-istrimu? Dan Allah Maha Pengampun lagi Maha Penyayang.",0.9453598,0.9624841,0.9311771,1.907844,1.907844
